[2024-02-29T19:40:48,436][INFO ][main] =========================== Execution started : WebTableTest===========================
[2024-02-29T19:40:54,644][INFO ][main] main : ShareData.Browser.ChromeBrowserService : openBrowser ==>  The browser was opened with success
[2024-02-29T19:40:54,904][INFO ][main] main : Pages.HomePage : clickConsent ==>  The user clicks on Consent button
[2024-02-29T19:40:55,695][INFO ][main] main : Pages.HomePage : clickElements ==>  The user clicks on Elements button
[2024-02-29T19:40:57,225][INFO ][main] main : Pages.Elements.ElementsPage : clickWebTables ==>  The user clicks on webtables element
[2024-02-29T19:40:58,279][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user clicks on the add button
[2024-02-29T19:40:58,688][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user fills firstname field[[ChromeDriver: chrome on windows (d64af6fe2e49acf1ac3606860f551152)] -> id: firstName]
[2024-02-29T19:40:58,816][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user fills lastname field[[ChromeDriver: chrome on windows (d64af6fe2e49acf1ac3606860f551152)] -> id: lastName]
[2024-02-29T19:40:58,982][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user fills email field[[ChromeDriver: chrome on windows (d64af6fe2e49acf1ac3606860f551152)] -> id: userEmail]
[2024-02-29T19:40:59,118][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user fills age field[[ChromeDriver: chrome on windows (d64af6fe2e49acf1ac3606860f551152)] -> id: age]
[2024-02-29T19:40:59,294][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user fills salary field[[ChromeDriver: chrome on windows (d64af6fe2e49acf1ac3606860f551152)] -> id: salary]
[2024-02-29T19:40:59,447][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user fills department field[[ChromeDriver: chrome on windows (d64af6fe2e49acf1ac3606860f551152)] -> id: department]
[2024-02-29T19:40:59,720][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  The user clicks on submit button
[2024-02-29T19:40:59,988][INFO ][main] main : Pages.Elements.WebTablePage : addNewEntry ==>  All the testing data were inserted into Webtable with success
[2024-02-29T19:41:00,297][INFO ][main] main : ShareData.ShareData : clear ==>  The browser was closed with succes
[2024-02-29T19:41:00,299][INFO ][main] =========================== Execution finished : WebTableTest===========================
